Hebrew Word,Valence,Arousal,Dominance
הדרן,0.51,0.423,0.5
הו הו הו,0.677,0.433,0.33
הוביט,0.479,0.489,0.472
הוביל,0.588,0.5656666666666667,0.6863333333333334
הובלה,0.533,0.53025,0.56625
הובנה,0.49,0.317,0.4
הוגה,0.714,0.434,0.571
הוגן,0.763,0.4215,0.6965
הוד,0.448,0.491,0.413
הוד מלכותו,0.74,0.67,0.931
הודאה,0.6536666666666666,0.5026666666666667,0.5966666666666667
הודה,0.6976,0.4732,0.7220000000000001
הודה ב,0.714,0.443,0.765
הודיה,0.8075,0.5335000000000001,0.8035
הודעה,0.605,0.4215,0.53125
הוזה,0.219,0.7595000000000001,0.4325
הוזיל,0.471,0.611,0.282
הוחלף,0.396,0.472,0.434
הוי,0.583,0.298,0.471
הוכיח,0.378,0.66,0.745
הולדת,0.896,0.655,0.536
הולוגרמה,0.615,0.461,0.575
הולוגרפי,0.51,0.471,0.555
הוליסטי,0.67,0.348,0.547
הולך,0.76,0.346,0.464
הולך רגל,0.438,0.36,0.448
הולכה חשמלית,0.53,0.557,0.717
הולכת חום,0.521,0.494,0.526
הולכת שולל,0.09,0.745,0.37
הוללות,0.354,0.901,0.5
הולם,0.77525,0.468,0.6615
הומאופתי,0.417,0.268,0.4
הומאז',0.833,0.56,0.737
הומה,0.49,0.85,0.528
הומו,0.531,0.368,0.415
הומוגני,0.552,0.255,0.617
הומוגניות,0.715,0.365,0.582
הומולוגי,0.471,0.353,0.536
הומולוגיה,0.571,0.494,0.527
הומופובי,0.13,0.736,0.464
הומור,0.89,0.633,0.462
הומוריסט,0.958,0.79,0.607
הומוריסטי,0.906,0.616,0.665
הומיאופתיה,0.469,0.284,0.439
הומינטרי,0.786,0.317,0.709
הומיני,0.479,0.382,0.429
הומלוג,0.542,0.356,0.509
הומלס,0.1825,0.4465,0.235
הומני,0.8,0.37,0.58
הון,0.7566666666666667,0.6456666666666666,0.82
הון עצמי,0.792,0.304,0.614
הונאה,0.07875,0.68025,0.367
הונה,0.10099999999999999,0.65,0.3275
הוסטל,0.479,0.5,0.398
הוסיף,0.5913333333333334,0.4976666666666667,0.5543333333333333
הוספיס,0.337,0.443,0.535
הועיל,0.837,0.64,0.789
הופיע,0.7182499999999999,0.4705,0.612
הופיע לראשונה,0.806,0.606,0.629
הופכי,0.468,0.261,0.5
הופעה,0.341,0.715,0.656
הופעה ראשונה,0.806,0.606,0.629
הוצאה,0.2908,0.6184000000000001,0.4894
הוצאה להורג,0.16,0.811,0.713
הוצאה מוכרת,0.375,0.286,0.455
הוצאות,0.24,0.633,0.396
הוציא,0.40166666666666667,0.6033333333333334,0.4326666666666667
הוקי,0.565,0.786,0.548
הוקי שדה,0.602,0.786,0.518
הוקיר,0.836,0.38,0.625
הוקעה,0.25,0.6995,0.485
הוראה,0.656,0.434,0.736
הוראות,0.582,0.302,0.556
הורדה,0.4013333333333333,0.383,0.328
הורדת לחץ,0.208,0.52,0.311
הורה,0.7639999999999999,0.37766666666666665,0.7679999999999999
הורוסקופ,0.5,0.36,0.49
הורות,0.8216666666666667,0.5106666666666667,0.6843333333333333
הורטיקולטורה,0.7,0.42,0.434
הורי,0.76,0.43,0.627
הוריד,0.27,0.623,0.445
הוריקן,0.177,0.958,0.787
הוריקנים,0.286,0.898,0.784
הוריש,0.459,0.492,0.633
הורמון,0.49,0.75,0.621
הורמונלי,0.5,0.62,0.551
הורס,0.34099999999999997,0.70375,0.52475
הורס מסיבות,0.178,0.55,0.324
הורשה,0.551,0.557,0.67
הושג,0.896,0.519,0.775
הושמד,0.16,0.6145,0.33399999999999996
הושמט,0.26,0.235,0.211
הושענה,0.679,0.373,0.5
הזדווגות,0.755,0.84,0.759
הזדחלות,0.479,0.519,0.467
הזדמנות,0.8236666666666667,0.5823333333333334,0.5853333333333334
הזדקנות,0.214,0.255,0.284
הזדרז,0.473,0.791,0.555
הזהבה,0.583,0.417,0.51
הזהיב,0.719,0.471,0.455
הזוהר הצפוני,0.817,0.306,0.537
הזזה,0.229,0.565,0.373
הזחה,0.374,0.5,0.349
הזיה,0.3145,0.7,0.427
הזיז,0.27666666666666667,0.5459999999999999,0.315
הזיק,0.08149999999999999,0.6805,0.2925
הזמנה,0.755,0.526,0.615
הזנה,0.7965,0.49,0.6705
הזנחה,0.119,0.617,0.30033333333333334
הזנחה פושעת,0.094,0.559,0.33
הזעפת פנים,0.214,0.602,0.433
הזרעה,0.542,0.644,0.622
החדש,0.622,0.38,0.396
החוצה,0.449,0.439,0.365
החזיק,0.448,0.375,0.241
החזקה,0.524,0.3375,0.517
החזר,0.459,0.5,0.567
החיים חרא,0.167,0.637,0.377
החיים טובים,0.812,0.575,0.611
החלטה,0.646,0.51,0.839
החלטי,0.67825,0.4575,0.7917500000000001
החלטיות,0.646,0.51,0.839
החליף,0.465,0.559,0.596
החלפה,0.469,0.431,0.652
החלשה,0.458,0.363,0.464
החמיא,0.81,0.647,0.604
החמיץ,0.36,0.551,0.412
החמיר,0.1438,0.7767999999999999,0.41159999999999997
החמצה,0.36,0.551,0.412
החמרה,0.071,0.784,0.613
החנקות,0.059,0.745,0.412
החרגה,0.24,0.53,0.389
החריד,0.2395,0.708,0.42400000000000004
החרים,0.146,0.689,0.587
החרמה,0.208,0.706,0.586
החרפה,0.344,0.81,0.48
החשיב,0.677,0.368,0.579
החשיך,0.3296666666666667,0.446,0.4746666666666666
הטבה,0.88,0.5695,0.682
הטביע,0.615,0.574,0.685
הטבלה,0.725,0.382,0.65
הטוב,0.854,0.327,0.6
הטיה,0.188,0.5,0.382
הטייה,0.4,0.37,0.541
הטיל מום,0.17149999999999999,0.40049999999999997,0.2355
הטלת מום,0.122,0.782,0.456
הטמיע,0.72,0.573,0.792
הטמעה,0.46950000000000003,0.467,0.5135
הטעין,0.51,0.633,0.785
הטפה,0.646,0.604,0.795
הטרדה,0.0925,0.8520000000000001,0.4135
הטרו,0.589,0.405,0.435
הטרוגניות,0.439,0.45,0.556
הטרוסקסואל,0.589,0.405,0.435
הטריד,0.1718333333333333,0.7083333333333334,0.38800000000000007
הטריף,0.153,0.877,0.417
היבט,0.45899999999999996,0.4745,0.5765
היבטים,0.439,0.48,0.565
היברידי,0.5,0.365,0.57
היגיינה,0.781,0.287,0.537
הידד,0.61,0.481,0.536
הידק,0.438,0.618,0.58
הידראולי,0.522,0.398,0.596
הידראוליקה,0.5,0.53,0.588
הידרדר,0.385,0.535,0.231
הידרה,0.406,0.598,0.534
הידרוגרפי,0.49,0.396,0.642
הידרודינמיקה,0.552,0.582,0.664
הידרולוגיה,0.5,0.38,0.509
הידרופוביה,0.323,0.784,0.351
הידרופוניקה,0.5,0.549,0.5
הידרוצפלוס,0.286,0.629,0.393
היה לי מספיק,0.323,0.566,0.529
היה שמח,0.875,0.557,0.562
היווצרות,0.6875,0.448,0.6675
היום הטוב ביותר אי פעם,0.76,0.646,0.593
היות ניתן להכחשה,0.23,0.509,0.417
היותו תלוי,0.396,0.452,0.472
היטב,0.7085,0.5845,0.6155
היטלטל,0.40549999999999997,0.5245,0.386
הייפ,0.51,0.5,0.586
הייקו,0.583,0.356,0.392
היכה,0.1575,0.8605,0.49250000000000005
היכל,0.51,0.34,0.424
היכרות,0.755,0.31799999999999995,0.643
הילה,0.6893333333333334,0.38066666666666665,0.5619999999999999
הילוך,0.51,0.577,0.509
הילוך יתר,0.303,0.715,0.732
הילל,0.887,0.7525,0.8354999999999999
הילר,0.863,0.378,0.741
הימור,0.568,0.798,0.361
הימורים,0.365,0.806,0.347
הימנעות,0.4295,0.41225,0.45825000000000005
הימר,0.458,0.441,0.264
היסוס,0.286,0.396,0.217
היסחפות,0.418,0.5,0.5
היסטולוגיה,0.49,0.32,0.56
היסטורי,0.7344999999999999,0.415,0.8085
היסטוריה,0.729,0.382,0.754
היסטוריוגרפיה,0.562,0.415,0.634
היסטוריון,0.688,0.27,0.637
היסטרי,0.29,0.942,0.398
היסטריה,0.224,0.906,0.482
היסק,0.438,0.462,0.527
היעדר,0.153,0.235,0.266
היעדרות,0.404,0.273,0.357
היעלמות,0.3705,0.6085,0.4125
היענות,0.63,0.42900000000000005,0.5985
היפ הופ,0.74,0.714,0.484
היפוך,0.602,0.63,0.772
היפוכונדר,0.194,0.588,0.333
היפופוטם,0.5155000000000001,0.438,0.546
היפותטי,0.48,0.367,0.361
היפותלמוס,0.593,0.427,0.539
היפותרמיה,0.184,0.62,0.301
היפטרות,0.135,0.608,0.396
היפי,0.551,0.4,0.396
היפנוזה,0.417,0.41,0.546
היפנוטי,0.571,0.56,0.569
היפר,0.542,0.616,0.64
היפר-ספייס,0.51,0.623,0.755
היפראקטיבי,0.5,0.921,0.66
היפרוונטילציה,0.164,0.802,0.625
היפרטרופיה,0.312,0.625,0.413
היציע,0.75,0.745,0.596
היקורי,0.52,0.49,0.415
היקי,0.448,0.529,0.345
היקף,0.5235,0.3755,0.5055000000000001
היקפי,0.551,0.422,0.509
היקר ביותר,0.902,0.427,0.508
היקרות,0.503,0.431,0.453
הירוגליפים,0.479,0.325,0.509
הירקבות,0.133,0.6,0.263
היררכי,0.521,0.62,0.939
היררכיה,0.583,0.722,0.902
הישג,0.8182,0.7012,0.8587999999999999
היתוך,0.635,0.561,0.741
היתל,0.051,0.692,0.241
היתר,0.388,0.462,0.49
הכאה,0.153,0.833,0.481
הכאיב,0.07866666666666666,0.5883333333333334,0.29833333333333334
הכביד,0.429,0.519,0.565
הכה,0.08,0.79,0.306
הכחדה,0.14049999999999999,0.6859999999999999,0.504
הכחיש,0.134,0.573,0.3025
הכחשה,0.194,0.435,0.318
הכי בר מזל,0.917,0.69,0.852
הכי גבוה,0.771,0.64,0.71
הכי כועס,0.094,0.892,0.43
הכי שמח,0.99,0.716,0.746
הכיר ב,0.714,0.443,0.765
הכלה,0.411,0.491,0.618
הכליא,0.431,0.49,0.508
הכללה,0.658,0.4315,0.708
הכניס,0.708,0.47,0.5
הכניע,0.33999999999999997,0.5285,0.2985
הכנסה,0.5338,0.5336000000000001,0.5269999999999999
הכנסת אורחים,0.865,0.333,0.725
הכעיס,0.229,0.816,0.377
הכפיל,0.443,0.494,0.512
הכרה,0.8183333333333334,0.5166666666666667,0.7873333333333333
הכרזה,0.7344999999999999,0.4665,0.616
הכרחי,0.481,0.609,0.744
הכריז,0.648,0.531,0.6556666666666667
הכריח,0.612,0.75,0.905
הכריע,0.38066666666666665,0.6303333333333333,0.6313333333333334
הכרית,0.448,0.615,0.529
הכרעה,0.776,0.725,0.795
הכרת תודה,0.885,0.441,0.61
הכרתה,0.323,0.69,0.529
הכשיל,0.104,0.618,0.454
הכתבה,0.255,0.378,0.627
הכתים,0.133,0.562,0.264
הכתיר,0.5,0.368,0.579
הכתרה,0.792,0.592,0.836
הלאה,0.667,0.538,0.741
הלבנה,0.439,0.327,0.444
הלבשה,0.75,0.343,0.407
הלבשה תחתונה,0.543,0.463,0.308
הלהיב,0.708,0.582,0.679
הלוואה,0.531,0.5325,0.40700000000000003
הלוויה,0.073,0.38,0.393
הלחין,0.684,0.385,0.682
הליבוט,0.449,0.412,0.411
הליום,0.49,0.316,0.304
הליכה,0.82,0.843,0.67
הליכת ירח,0.615,0.586,0.525
הלימה,0.615,0.435,0.702
הלימות,0.615,0.435,0.702
הלין,0.438,0.332,0.339
הליקופטר,0.714,0.806,0.617
הלך,0.391,0.26,0.222
הללויה,0.77,0.554,0.657
הלם,0.245,0.735,0.329
הלסת התחתונה,0.51,0.431,0.5
המבורגר,0.7484999999999999,0.5595,0.3925
המוגלובין,0.469,0.481,0.418
המוח שמאחורי,0.792,0.625,0.918
המולה,0.4401428571428571,0.6465714285714286,0.4308571428571429
המום,0.4186666666666667,0.7146666666666667,0.43500000000000005
המון,0.49825,0.54625,0.552
המוני,0.458,0.245,0.277
המונים,0.552,0.453,0.473
המועדף עליי,0.812,0.587,0.615
המושב האחורי,0.388,0.33,0.237
המחשה,0.74,0.441,0.64
המטומה,0.146,0.6,0.398
המטיט,0.448,0.389,0.342
המיה,0.49,0.439,0.5
המיליון,0.635,0.528,0.611
המין האנושי,0.885,0.394,0.714
המיס,0.427,0.317,0.389
המיספרה,0.531,0.367,0.598
המיר,0.5660000000000001,0.5145,0.5845
המלאך הראשי,0.837,0.5,0.708
המלט,0.573,0.27,0.397
המליט,0.5593333333333333,0.467,0.44799999999999995
המנון,0.78,0.343,0.729
המסה,0.449,0.622,0.535
המעטה,0.298,0.399,0.3315
המעי הגס,0.449,0.394,0.384
המעיט,0.255,0.696,0.604
המצאה,0.633,0.4465,0.672
המראה,0.531,0.667,0.588
המרה,0.61,0.587,0.6134999999999999
המרחב האווירי,0.562,0.51,0.64
המריץ,0.7114,0.7258,0.7242
המשיך,0.651,0.47,0.51
המשך,0.6719999999999999,0.49,0.609
המשכי,0.5,0.423,0.685
המשכיות,0.781,0.439,0.684
המתיק,0.713,0.33,0.36
המתקת דין,0.469,0.431,0.652
המתרחש,0.503,0.431,0.453
המתת חסד,0.229,0.716,0.325
"הנ""ל",0.541,0.298,0.509
הנאה,0.93625,0.7075,0.7242500000000001
הנאות,0.896,0.654,0.705
הנגאובר,0.188,0.565,0.267
הנגדה,0.427,0.5,0.46
הנדימן,0.66,0.373,0.393
הנדסה,0.735,0.471,0.836
הנהון,0.59,0.367,0.427
הנהלה,0.792,0.491,0.806
הנהלת חשבונות,0.52,0.214,0.592
הנזכר לעיל,0.42,0.346,0.324
הנח לי,0.24,0.472,0.402
הנחה,0.6014999999999999,0.48050000000000004,0.3595
הנחיה,0.625,0.481,0.697
הנחיות,0.459,0.5,0.664
הניא,0.184,0.443,0.267
הניח,0.5465,0.40725,0.466
הניף,0.4,0.343,0.402
הנמוך ביותר,0.312,0.304,0.129
הנמקה,0.479,0.549,0.76
הנעלה,0.643,0.337,0.275
הנפה,0.201,0.843,0.491
הנפיק,0.638,0.445,0.51
הנפיש,0.823,0.676,0.538
הנפקה,0.51,0.453,0.591
הנפשה,0.888,0.75,0.549
הנצה,0.49,0.5,0.355
הנצחה,0.6145,0.646,0.735
הנקה,0.552,0.549,0.653
הסב,0.592,0.392,0.472
הסבה,0.834,0.36,0.611
הסביר,0.63,0.448,0.5695
הסבר,0.5625,0.5275,0.7135
הסגר,0.38,0.519,0.51
הסגרה,0.229,0.627,0.554
הסגת גבול,0.255,0.736,0.62
הסדיר,0.5613333333333334,0.463,0.621
הסדקות,0.327,0.557,0.286
הסדר,0.625,0.382,0.683
הסדרה,0.399,0.575,0.565
הסוואה,0.47950000000000004,0.59,0.4195
הסווה,0.35,0.422,0.562
הסחה,0.74,0.821,0.714
הסחת הדעת,0.402,0.557,0.39
הסיח,0.32766666666666666,0.5323333333333333,0.34
הסיט,0.3993333333333333,0.46366666666666667,0.4483333333333333
הסיק,0.602,0.519,0.553
הסית,0.271,0.302,0.368
הסכים,0.7826666666666666,0.4141666666666666,0.5753333333333334
הסכם,0.829,0.352,0.5589999999999999
הסכמה,0.707125,0.48175,0.65575
הסכמה שבשתיקה,0.542,0.48,0.554
הסלים,0.646,0.724,0.518
הסלמה,0.6085,0.7655000000000001,0.55
הסמכה,0.688,0.49,0.765
הסמקה,0.51,0.789,0.288
הססן,0.333,0.542,0.321
הססנות,0.184,0.48,0.196
הססני,0.263,0.508,0.35450000000000004
הסעיר,0.444,0.882,0.491
הספד,0.48100000000000004,0.416,0.588
הסקה,0.503,0.485,0.4675
הסקתי,0.426,0.451,0.455
הסרה,0.235,0.5835,0.4655
הסריט,0.823,0.491,0.566
הסתבך,0.328,0.6495,0.38849999999999996
הסתבכות,0.296,0.42,0.407
הסתגל,0.735,0.423,0.641
הסתגלות,0.663,0.365,0.609
הסתה,0.302,0.943,0.598
הסתובב,0.48,0.29,0.343
הסתווה,0.5,0.615,0.326
הסתייג,0.135,0.5,0.328
הסתיים,0.37799999999999995,0.4223333333333333,0.5596666666666666
הסתיר,0.351,0.322,0.3916666666666666
הסתכל,0.719,0.429,0.615
הסתכלות,0.677,0.413,0.362
הסתכלות פנימה,0.603,0.337,0.575
הסתכלות פנימית,0.603,0.337,0.575
הסתמך,0.367,0.427,0.596
הסתנוורות,0.854,0.88,0.767
הסתננות,0.265,0.792,0.536
הסתעפות,0.47450000000000003,0.5185,0.5795
הסתערות,0.276,0.83,0.613
הסתרה,0.276,0.5685,0.377
העביד יתר על המידה,0.133,0.67,0.387
העביר,0.7384999999999999,0.4605,0.5695
העברה,0.49133333333333334,0.5293333333333333,0.482
העדיף,0.812,0.308,0.519
העדפה,0.812,0.308,0.519
העדר,0.153,0.235,0.266
העדרות,0.404,0.273,0.357
העולם הבא,0.571,0.567,0.568
העולם התחתון,0.402,0.607,0.405
העזה,0.577,0.476,0.6154999999999999
העיד,0.5,0.5,0.778
העלבה,0.312,0.798,0.446
העלה,0.81,0.657,0.886
העמדה לדין,0.406,0.837,0.534
העמדת פנים,0.458,0.55,0.346
העמיד,0.604,0.451,0.538
העמיד פנים,0.173,0.602,0.333
העמיס,0.429,0.519,0.565
העניק,0.8195714285714286,0.47271428571428575,0.7001428571428571
העסיק,0.837,0.596,0.849
העסקה,0.7395,0.5375,0.6565
הערה,0.704,0.22749999999999998,0.39749999999999996
העריך,0.733,0.4584,0.633
העריך יתר על המידה,0.344,0.646,0.527
העריץ,0.884,0.6125,0.7162499999999999
הערכה,0.6487777777777778,0.5345555555555556,0.6160000000000001
הערכת יתר,0.367,0.796,0.444
הערמה,0.531,0.571,0.473
הערצה,0.927,0.641,0.717
הערת שוליים,0.757,0.466,0.625
העת העתיקה,0.385,0.333,0.556
העתיק,0.4545,0.32899999999999996,0.33699999999999997
העתק,0.47666666666666674,0.38266666666666665,0.3373333333333333
העתקה,0.448,0.315,0.404
הפגזה,0.146,0.959,0.742
הפגין,0.6575,0.5355,0.671
הפגין חוסר רצון,0.385,0.442,0.364
הפגינו,0.617,0.5,0.649
הפגנה,0.551,0.676,0.679
הפגנתי,0.656,0.528,0.736
הפוך,0.33025000000000004,0.45875,0.374
הפחד הכי גדול,0.062,0.73,0.48
הפחדה,0.177,0.791,0.644
הפחיד,0.2975,0.65125,0.39249999999999996
הפחית,0.16314285714285717,0.5485714285714286,0.3347142857142857
הפחתה,0.2641428571428571,0.4152857142857143,0.3205714285714286
הפטיטיס,0.055,0.596,0.358
הפיל,0.153,0.686,0.429
הפך,0.327,0.449,0.338
הפך לחוקי,0.76,0.44,0.855
הפך למקומי,0.52,0.481,0.679
הפך לפופולרי,0.75,0.771,0.745
הפכים,0.281,0.518,0.462
הפכפך,0.406,0.481,0.346
הפלה,0.09466666666666668,0.778,0.35233333333333333
הפללה,0.152,0.865,0.545
הפנט,0.49,0.455,0.627
הפנטגון,0.49,0.636,0.774
הפנימי ביותר,0.583,0.5,0.51
הפנינג,0.646,0.529,0.555
הפסד,0.111,0.582,0.25
הפסיד,0.18466666666666667,0.6586666666666666,0.21599999999999997
הפסיפי,0.627,0.118,0.58
הפסקה,0.39766666666666667,0.47150000000000003,0.36450000000000005
הפסקת אש,0.542,0.594,0.567
הפעיל,0.729,0.481,0.702
הפעלה,0.6813333333333333,0.6686666666666667,0.7403333333333334
הפצה,0.48900000000000005,0.5713333333333334,0.6293333333333333
הפציע,0.694,0.471,0.473
הפציץ,0.109,0.8815,0.6885
הפצצה,0.167,0.963,0.732
הפקיד,0.5375,0.5355000000000001,0.6014999999999999
הפקיר,0.344,0.643,0.537
הפקעה,0.188,0.735,0.788
הפקרות,0.156,0.804,0.509
הפר,0.177,0.745,0.423
הפרה,0.29666666666666663,0.6083333333333334,0.4928333333333333
הפריד,0.365,0.287,0.214
הפריד מהגוף,0.167,0.62,0.412
הפריך,0.042,0.63,0.306
הפריע,0.21357142857142855,0.6551428571428571,0.34528571428571425
הפרעה,0.24262499999999998,0.716125,0.39475
הפרעה בקצב הלב,0.265,0.706,0.356
הפרעה נפשית,0.122,0.766,0.418
הפרעות אכילה,0.365,0.608,0.508
הפרשה,0.285,0.65,0.457
הפשטה,0.38549999999999995,0.474,0.4535
הפתעה גדולה,0.939,0.941,0.688
הפתעה מתונה,0.776,0.663,0.637
הפתעה קיצונית,0.833,0.935,0.676
הצבה,0.643,0.46,0.528
הצביע,0.49,0.193,0.431
הצבעה,0.448,0.598,0.602
הצגה,0.458,0.55,0.346
הצגה יומית,0.694,0.578,0.447
הצד המוגן,0.51,0.269,0.296
הצדקה,0.622,0.444,0.661
הצהיר,0.576,0.41000000000000003,0.5985
הצהרה,0.44975,0.5485,0.55975
הצהרה מוטעית,0.302,0.547,0.221
הצהרתי,0.635,0.582,0.673
הצחקה,0.745,0.48,0.575
הצטברות,0.46675,0.5800000000000001,0.601
הצטיינות,0.584,0.571,0.75
הצטלבות,0.4465,0.445,0.5545
הצטננות,0.398,0.538,0.348
הצטרף,0.6963333333333334,0.41900000000000004,0.6283333333333333
הצטרפות,0.6835,0.426,0.6605000000000001
הציב,0.45399999999999996,0.458,0.4315
הציג,0.7170000000000001,0.5405,0.7809999999999999
הציף,0.3532,0.645,0.526
הציק,0.3325,0.611,0.4225
הצית,0.41400000000000003,0.6890000000000001,0.625
הצלחה,0.275,0.815,0.607
הצליב,0.431,0.49,0.508
הצלפה קלה,0.688,0.541,0.515
הצמדה,0.438,0.618,0.58
הצמיד,0.48950000000000005,0.349,0.4175
הצעה,0.719,0.6035,0.5905
הצעת מחיר,0.673,0.587,0.5820000000000001
הצפה,0.261,0.7833333333333333,0.521
הצפנה,0.547,0.415,0.474
הצצה,0.5800000000000001,0.4445,0.453
הצקה,0.071,0.784,0.613
הצרה,0.354,0.593,0.357
הצתה,0.3393333333333333,0.7583333333333333,0.5483333333333333
הצתה מוקדמת,0.265,0.612,0.491
הקבלה,0.549,0.363,0.527
הקבצה,0.745,0.58,0.698
הקדים,0.396,0.661,0.291
הקדיש,0.845,0.3755,0.643
הקדמה,0.55,0.3225,0.6040000000000001
הקדשה,0.819,0.4445,0.7430000000000001
הקהיל,0.653,0.53,0.733
הקטר,0.57,0.25,0.471
הקטרים,0.57,0.25,0.471
הקים,0.7275,0.617,0.7665
הקיף,0.5118333333333334,0.4066666666666667,0.4578333333333333
הקל,0.796,0.385,0.491
הקלה,0.57175,0.33675,0.4075
הקמה,0.64,0.856,0.695
הקסגון,0.542,0.226,0.425
הקסים,0.8666666666666667,0.6016666666666667,0.6903333333333334
הקסמה,0.816,0.775,0.647
הקפה,0.5465,0.5820000000000001,0.374
הקצאה,0.6053333333333333,0.44966666666666666,0.6646666666666667
הקצה,0.3185,0.5105,0.333
הקציף,0.723,0.273,0.288
הקצפה,0.643,0.24,0.198
הקראת פסק דין,0.406,0.837,0.534
הקרוב,0.66,0.509,0.6
הקרים,0.6325000000000001,0.30500000000000005,0.372
הקריש,0.713,0.33,0.36
הקרנה,0.385,0.736,0.509
הקשה,0.622,0.635,0.642
הקשיב,0.6054999999999999,0.4385,0.4445
הקשר,0.531,0.3,0.553
הר,0.6546666666666666,0.37766666666666665,0.5219999999999999
הר שולחן,0.604,0.191,0.319
הרבה,0.428,0.49800000000000005,0.39333333333333337
הרבה זמן,0.362,0.442,0.546
הרביץ,0.396,0.578,0.464
הרבעה,0.667,0.481,0.61
הרג,0.11666666666666665,0.8466666666666667,0.5773333333333334
הרגזה,0.073,0.833,0.496
הרגיז,0.1755,0.7484999999999999,0.455
הרגיע,0.429,0.525,0.464
הרגיש,0.6973333333333334,0.38766666666666666,0.5543333333333332
הרגל,0.625,0.226,0.585
הרגל מגונה,0.184,0.594,0.311
הרגעה,0.885,0.105,0.36
הרגשה,0.806,0.329,0.531
הרגשה הכי טובה,0.806,0.509,0.625
הרגשה טובה,0.939,0.459,0.679
הרגשה רעה,0.25,0.559,0.365
הרדמה,0.3575,0.2165,0.4335
הרהור,0.763,0.1355,0.47150000000000003
הרהר,0.663,0.34,0.594
הרואי,0.89,0.77,0.912
הרואין,0.276,0.843,0.655
הרוג מלכות,0.281,0.708,0.509
הרוס,0.14200000000000002,0.6255,0.30025
הרחבה,0.5805,0.596,0.5775
הרחיב,0.76,0.406,0.689
הרחיק,0.143,0.663,0.629
הרחק,0.594,0.37,0.373
הרחקה,0.3095,0.65,0.49
הרטיב,0.271,0.422,0.336
הריגה,0.09,0.92,0.473
הריון,0.561,0.538,0.702
הרים,0.635,0.4716666666666667,0.5578333333333333
הרינג,0.531,0.387,0.422
הריסה,0.133,0.827,0.541
הריסות,0.135,0.396,0.327
הריע,0.7706666666666667,0.7016666666666667,0.766
הרכבה,0.5515,0.5015,0.5775
הרכיב,0.748,0.367,0.794
הרכין,0.594,0.082,0.198
הרלדיקה,0.55,0.52,0.607
הרמאפרודיט,0.48,0.684,0.481
הרמה,0.76,0.759,0.711
הרמון,0.521,0.578,0.582
הרמוני,0.938,0.391,0.719
הרמוניה,0.907,0.315,0.542
הרמוניות,0.865,0.4,0.575
הרמז,0.44,0.308,0.462
הרמנויטיקה,0.406,0.577,0.562
הרס,0.13949999999999999,0.7509166666666666,0.45050000000000007
הרסני,0.16,0.7504,0.4906
הרעיש,0.39749999999999996,0.679,0.43925000000000003
הרעלה,0.094,0.837,0.526
הרפס,0.11,0.6,0.309
הרפתקאה,0.917,0.857,0.71
הרפתקאות,0.812,0.764,0.749
הרפתקה,0.7978,0.7656,0.6914
הרפתקן,0.781,0.839,0.868
הרפתקני,0.587,0.75,0.5485
הרץ,0.396,0.417,0.506
הרצאה,0.594,0.462,0.737
הרצה,0.594,0.462,0.737
הרקיב,0.017,0.375,0.169
הררי,0.639,0.499,0.6074999999999999
הרשאה,0.521,0.567,0.817
הרשים,0.806,0.77,0.429
הרשיע,0.177,0.84,0.477
הרשמה,0.667,0.391,0.698
הרשעה,0.374,0.7144999999999999,0.6375
השאלה,0.51,0.585,0.462
השבח לאל,0.842,0.4385,0.655
השגה,0.83,0.52,0.94
השהיה,0.448,0.569,0.414
השהייה,0.479,0.294,0.352
השוואה,0.5726666666666667,0.41500000000000004,0.4746666666666666
השוואתי,0.47,0.273,0.562
השווה,0.6865,0.304,0.432
השורה מתחת לכותרת,0.469,0.45,0.435
השחית,0.153,0.613,0.336
השיבה הביתה,0.76,0.413,0.472
השיג,0.7896,0.47800000000000004,0.7124
השיק,0.684,0.814,0.598
השליך,0.229,0.46,0.308
השלים,0.6408333333333333,0.36333333333333334,0.6495
השליף,0.416,0.5516666666666666,0.4093333333333333
השלכה,0.4123333333333334,0.6789999999999999,0.548
השלמה,0.6194999999999999,0.573,0.593
השמדה,0.14633333333333334,0.816,0.6306666666666666
השמטה,0.43733333333333335,0.482,0.3973333333333333
השמיד,0.10425000000000001,0.77025,0.48325
השמיט,0.26,0.235,0.211
השמין,0.375,0.549,0.363
השמנת יתר,0.215,0.37,0.328
השמעה,0.656,0.559,0.639
השמצה,0.11,0.67,0.481
השערה,0.47400000000000003,0.384,0.5215000000000001
השפיל,0.14933333333333335,0.5815,0.2085
השפיע,0.35,0.574,0.394
השפלה,0.1275,0.616,0.33375
השפעה,0.596,0.5446666666666666,0.6136666666666667
השפעות,0.47,0.578,0.379
השקה,0.375,0.47,0.49
השקט,0.627,0.118,0.58
השקיה,0.259,0.426,0.426
השקיע,0.365,0.453,0.412
השקעה,0.72,0.592,0.745
השקפה,0.83,0.525,0.625
השראה,0.665,0.5965,0.7030000000000001
השרה,0.55,0.53,0.491
השרשה,0.396,0.604,0.741
השתאות,0.7885,0.8360000000000001,0.5745
השתגע,0.212,0.8530000000000001,0.48600000000000004
השתוקקות,0.51,0.755,0.636
השתייך,0.673,0.519,0.535
השתייכות,0.615,0.594,0.5
השתיל,0.37433333333333335,0.5033333333333333,0.6486666666666667
השתין,0.354,0.462,0.268
השתיק,0.38025,0.265,0.32675
השתכר,0.265,0.745,0.431
השתלה,0.396,0.604,0.741
