sent_text,sent_number,v-avg-ann-scores,a-avg-ann-scores,d-avg-ann-scores,v-normalized-score,a-normalized-score,d-normalized-score
"ברור שלא היינו רוצים את ההטרדות, אבל במקום שנפגעת בכלל חוששת להתלונן, זו סביבת עבודה גרועה בעיניי, כי אין לה את המקום, אין לה את הפלטפורמה. מקום שמייצר הטרדות מיניות, ומאידך לא מאפשרת להתלונן, זה הרבה יותר קשה בעיניי.",109,-0.333333333,0.041666667,-0.458333333,0.333333333,0.520833333,0.270833334
"נכון, הפיגועים האלה לא חדשים, ההיסטוריה שלנו במדינת ישראל מלאת תקופות של פיגועים.",110,-0.833333333,-0.541666667,-0.583333333,0.083333333,0.229166667,0.208333334
"מניסיון שלנו, כשיש מרכז חוסן זה מענה מהמם, אין לי מילה אחרת, גם כי זה עובד בכל השנה, גם כי אין לנו שם תורי המתנה, ואתם יודעים איזו מצוקה יש בבריאות הנפש, אז שם אין לנו תורי המתנה, וגם כי הוא יכול לתת מענה גם לפוסט טראומה וגם לטראומה עכשווית.",111,0.5,-0.291666667,0.291666667,0.75,0.354166667,0.645833334
"בקהילות האלה יושבים מיטב בנינו ובנותינו, אנשים איכותיים ויצירתיים שמוסיפים המון אור וטוב לעולם.",112,0.833333333,-0.166666667,0.25,0.916666667,0.416666667,0.625
"יש כאלה שנמצאים כביכול בשמאל הציוני שהם יודעים שהם עושים משהו גזעני ומגעיל, אבל מנסים להכניס את זה לתוך מכבסת המילים החכמה של תנאי הקבלה.",113,-0.166666667,0.125,0.041666667,0.416666667,0.5625,0.520833334
"אנחנו מיעוט שסובל מאפליה וסובל מקיפוח. אנחנו דורשים, וזו זכותנו, אפליה מתקנת והעדפה מתקנת, אבל שהרוב יבוא ויבקש העדפה מתקנת לטובתו? זה עוד לא שמעתי באף משטר.",114,-0.375,0.375,0.083333333,0.3125,0.6875,0.541666667
"אתם מצפצפים על בג""צ, ובסוף כשבג""צ פוסל את החוק אתם מתלוננים איך בג""צ פוסל חוקים.",115,-0.25,0.041666667,-0.166666667,0.375,0.520833333,0.416666667
"למרבה הצער, אני חש שמדינת ישראל נמצאת במשבר סביבתי קשה. אין כמעט תחום שאנחנו לא רואים בו ירידה בנתונים ובממדים הבסיסיים, אם זה באיכות המים, אם זה באיכות אוויר, בוודאי בתחום האקלימי, וכו'.",116,-0.416666667,-0.125,-0.375,0.291666667,0.4375,0.3125
"בשטח C כאמור, הבעיה היא חמורה ביותר כי לא נותנים לתושבים הפלסטינים שם לחפור בארות, לא מספקים מים, איכות המים שמגיעה היא איכות ירודה יותר, ולכן זה מהווה סיכון וסכנה בריאותית לשלומם של התושבים.",117,-0.5,-0.208333333,-0.125,0.25,0.395833333,0.4375
"אנחנו עושות הכול עבור הילדים שלנו, אנחנו מוכנות למות עבור הילדים שלנו.",118,0,0.208333333,0.75,0.5,0.604166667,0.875
"קודם כול מאוד משמח שיש שיפור ויש עלייה בפתיחת תיקים בגין עבירות, גם עבירות ירי, גם עבירות סחיטה כדי לתת דמי חסות.",119,0.833333333,-0.125,0.333333333,0.916666667,0.4375,0.666666667
"אני זוכרת שבעיר שלי, בשכונה שגרתי, בן אדם הוציא את הילדה שלו מגן ילדים, החזיק אותה ביד, ופשוט נורה, נורה ברחוב בגלל שלא שילם דמי חסות לאיזושהי כנופיה. זה נורא.",120,-0.791666667,0.583333333,-0.541666667,0.104166667,0.791666667,0.229166667
